ev-id,net,day,time,lat,lon,dept,RMS,d_la,d_lo,d_de,Ml,Ml,M,mode
"isor2013tyzp","SI",2013-10-12,01:22:03.041,63.8138,-22.6210,3.22,0.046,0.43,0.32,0.50,1.54,1.69,1.63,"manual"
"isor2013tzaw","SI",2013-10-12,02:01:08.355,63.8095,-22.6367,3.69,0.072,0.52,0.39,0.64,1.54,1.71,1.56,"manual"
"isor2013tzcd","SI",2013-10-12,02:39:11.449,63.8202,-22.6304,3.49,0.064,0.75,0.67,0.75,1.19,1.40,1.26,"manual"
"isor2013tzco","SI",2013-10-12,02:52:17.863,63.8193,-22.6246,3.02,0.035,0.52,0.56,0.38,1.40,1.60,1.50,"manual"
"isor2013tzff","SI",2013-10-12,04:13:17.222,63.8083,-22.6442,3.35,0.037,0.67,0.76,0.75,1.38,1.62,1.46,"manual"
"isor2013tzlj","SI",2013-10-12,07:19:26.420,63.8231,-22.6222,2.96,0.042,0.38,0.26,0.37,1.89,2.18,1.94,"manual"
"isor2013tzll","SI",2013-10-12,07:21:44.569,63.8251,-22.6231,2.98,0.037,0.62,0.55,0.63,1.37,1.48,1.40,"manual"
"isor2013tzlr","SI",2013-10-12,07:28:12.190,63.8287,-22.6261,2.70,0.046,0.55,0.55,0.41,1.47,1.62,1.49,"manual"
"isor2013tzmk","RR",2013-10-12,07:51:24.016,63.8038,-22.6347,1.97,0.028,0.37,0.35,0.70,1.49,1.53,1.51,"manual"
"isor2013tzmo","RR",2013-10-12,07:55:02.360,63.8083,-22.6429,2.49,0.020,0.82,0.71,1.04,1.27,1.51,1.39,"manual"
"isor2013tzov","SI",2013-10-12,09:04:38.851,63.8168,-22.6185,2.97,0.059,0.44,0.42,0.48,1.58,1.80,1.65,"manual"
"isor2013tzpf","RR",2013-10-12,09:16:21.951,63.8106,-22.6152,2.11,0.030,0.55,0.45,0.79,1.34,1.50,1.43,"manual"
"isor2013tzpo","SI",2013-10-12,09:26:19.560,63.8164,-22.6188,3.03,0.048,0.40,0.39,0.53,1.44,1.68,1.52,"manual"
"isor2013tzpq","SI",2013-10-12,09:29:14.773,63.8162,-22.6236,3.00,0.046,0.43,0.32,0.44,1.85,2.26,1.98,"manual"
"isor2013tzpr","SI",2013-10-12,09:29:35.346,63.8166,-22.6208,2.98,0.055,0.42,0.29,0.48,1.88,2.16,1.85,"manual"
"isor2013tzpw","SI",2013-10-12,09:35:23.728,63.8211,-22.6436,3.46,0.036,0.56,0.52,0.42,1.32,1.50,1.41,"manual"
"isor2013tzqe","SI",2013-10-12,09:45:18.634,63.8189,-22.6242,2.96,0.055,0.43,0.28,0.44,1.76,1.97,1.87,"manual"
